,prop_name,location,price,year,uc,sqf
0,3 BHK Apartment in Vasavi Anandanilayam,Saroor Nagar, 1.46 Cr,1983 ,Under Construction,"7,400 / sq ft"
1,2 BHK Apartment in Vasavi Construction Metropolis,Uppal Kalan, 67.08 L,1065 ,Under Construction,"6,304 / sq ft"
2,3 BHK Apartment in Deevyashakti Amara,Rajendra Nagar, 1.34 Cr,2235 ,Under Construction,"6,000 / sq ft"
3,3 BHK Apartment in Gk Zenith,Yapral, 1.04 Cr,1735 ,Ready to move,"6,000 / sq ft"
4,3 BHK Apartment in Adhireddy Pavan Kumar Reddy Cozy Essence Elite,Kompally, 90.22 L,2005 ,Ready to move,"4,500 / sq ft"
5,4 BHK Villa in Cloudswood RADHEY RAAGA,Patighanpur, 6.89 Cr,4596 ,Under Construction,"14,999 / sq ft"
6,3 BHK Apartment in Vision Visions Arsha,Tellapur, 1.45 Cr,2000 ,Under Construction,"7,299 / sq ft"
7,3 BHK Apartment in Pranathi Kiara,Tellapur, 1.23 Cr,1965 ,Under Construction,"6,299 / sq ft"
8,3 BHK Apartment in Janapriya Bahiti,Ameenpur, 1.35 Cr,2120 ,Under Construction,"6,400 / sq ft"
9,4 BHK Apartment in Trishala Trilok,Shamshabad, 2.69 Cr,4150 ,Under Construction,"6,500 / sq ft"
10,4 BHK Apartment in RAGHURAM PRADEEP CONSTRUCTIONS The Vue Residences,Puppalaguda, 4.04 Cr,3715 ,Under Construction,"10,891 / sq ft"
11,2 BHK Apartment in Akruthi Srivatsa,Mallampet, 61 L,1220 ,Under Construction,"5,000 / sq ft"
12,3 BHK Apartment in Aakriti Cyan,Tellapur, 1.17 Cr,1813 ,Under Construction,"6,499 / sq ft"
13,3 BHK Apartment in ARR Avencia,Bachupally, 93 L,1550 ,Ready to move,"6,000 / sq ft"
14,3 BHK Apartment in Makuta Projects My Space 2,Bachupally, 1.26 Cr,1946 ,Under Construction,"6,502 / sq ft"
15,3 BHK Apartment in KSR Greens,Chandanagar, 1.59 Cr,1900 ,Under Construction,"8,399 / sq ft"
16,5 BHK Villa in Green Mark Greenmark Mayfair Sunrise,Kollur, 6.81 Cr,6111 ,Under Construction,"11,143 / sq ft"
17,3 BHK Apartment in Shree Krishna Homes,Bolarum, 76.94 L,1571 ,Ready to move,"4,900 / sq ft"
18,3 BHK Apartment in GHR Callisto,Kollur, 1.06 Cr,1775 ,Under Construction,"5,999 / sq ft"
19,3 BHK Apartment in Candeur Twins,Miyapur, 1.52 Cr,2004 ,Under Construction,"7,600 / sq ft"
